 
C Ka Order 
S_No,Gauge,Meena/sada
20,11.5,S
11,12.0,S
19,12.0,S
21,12.0,M
10,13.0,S
14,13.0,M
1,13.75,S
 
H Ka Order 
S_No,Gauge,Meena/sada
48,9.0,S
1051,9.0,nan
39,10.0,S
251,12.0,nan

RD Ka Order 
S_No,Gauge,Meena/sada
1201,7.0,nan
1442,9.0,nan
1440,10.0,nan
1401,10.5,nan
1402,10.5,nan
1405,10.5,nan

B Ka Order 
S_No,Gauge,Meena/sada
2149,8.0,nan
1082,8.5,nan
2140,9.0,nan
2146,10.0,nan

X Ka Order 
S_No,Gauge,Meena/sada

Wrong Order 
4
5
6
 


FULL Order 

S_No,Gauge,Meena/sada
1201,7.0,nan
2149,8.0,nan
1082,8.5,nan
48,9.0,S
1051,9.0,nan
1442,9.0,nan
2140,9.0,nan
39,10.0,S
1440,10.0,nan
2146,10.0,nan
1401,10.5,nan
1402,10.5,nan
1405,10.5,nan
20,11.5,S
11,12.0,S
19,12.0,S
21,12.0,M
251,12.0,nan
10,13.0,S
14,13.0,M
1,13.75,S
